# КЛЮЧЕВЫЕ ОФФСЕТЫ - libx.so
Function,Offset,Description
menu_aimbot_main,0x3964FF,Aimbot main settings
menu_visuals_player,0x3968CB,Visual ESP settings
chams_glow,0x3964FF,Glow shader
chams_flat,0x3964FF,Flat shader
chams_wireframe,0x3964FF,Wireframe shader
chams_textured,0x3964FF,Textured shader
anti_detect_string,0x3926F0,Anti-cheat bypass
aes_functions,0x3964FF,AES crypto functions
health_display,0x3964FF,Health bar display
weapon_esp,0x3964FF,Weapon ESP
menu_config,0x3964FF,Configuration menu
unity_api,0x3964FF,Unity API integration
